Byte_ID,Solve,Time,Date
1,1,149.76,19.Jan
2,2,128.79,19.Jan
3,3,121.7,19.Jan
4,4,129.56,19.Jan
5,5,103.47,19.Jan
6,6,91.52,26.Jan
7,7,143.59,26.Jan
8,8,110.92,26.Jan
9,9,85.37,27.Jan
10,10,149.16,27.Jan
11,11,84.47,27.Jan
12,12,141.87,27.Jan
13,13,125.22,27.Jan
14,14,67.85,27.Jan
15,15,92.07,28.Jan
16,16,113.09,28.Jan
17,17,69.7,28.Jan
18,18,71.47,28.Jan
19,19,91.15,28.Jan
20,20,69.66,28.Jan
21,21,91.42,29.Jan
22,22,86.32,29.Jan
23,23,80.87,29.Jan
24,24,97.65,29.Jan
25,25,65.5,29.Jan
26,26,86.15,29.Jan
27,27,71.78,30.Jan
28,28,86.85,30.Jan
29,29,90.63,30.Jan
30,30,78.58,30.Jan
31,31,110.14,30.Jan
32,32,91.03,30.Jan
33,33,81.48,31.Jan
34,34,63.06,31.Jan
35,35,72.34,31.Jan
36,36,89.05,31.Jan
37,37,76.87,31.Jan
38,38,79.55,31.Jan
39,39,77.21,31.Jan
40,40,87.4,31.Jan
41,41,86.46,31.Jan
42,42,78.08,31.Jan
43,43,73.05,31.Jan
44,44,67.39,31.Jan
45,45,70.02,31.Jan
46,46,63.21,31.Jan
47,47,78.47,31.Jan
48,48,102.77,02.Feb
49,49,73.32,02.Feb
50,50,72,02.Feb
51,51,66.73,02.Feb
52,52,108.48,02.Feb
53,53,59.23,02.Feb
54,54,65.13,02.Feb
55,55,108.29,02.Feb
56,56,100.11,02.Feb
57,57,68.79,02.Feb
58,58,54.36,02.Feb
59,59,65.49,02.Feb
60,60,67.25,02.Feb
61,61,74.99,03.Feb
62,62,87.15,03.Feb
63,63,64.85,03.Feb
64,64,64.2,03.Feb
65,65,83.65,03.Feb
66,66,88.98,03.Feb
67,67,90.18,03.Feb
68,68,88.87,03.Feb
69,69,99.25,03.Feb
70,70,77.54,03.Feb
71,71,133.87,03.Feb
72,72,90.17,03.Feb
73,73,75.58,03.Feb
74,74,139.36,03.Feb
75,75,108.66,03.Feb
76,76,74.62,03.Feb
77,77,58.52,03.Feb
78,78,80.15,03.Feb
79,79,124.49,03.Feb
80,80,190.8,03.Feb
81,81,91.64,03.Feb
82,82,87.25,03.Feb
83,83,61.51,05.Feb
84,84,65.31,05.Feb
85,85,58.08,05.Feb
86,86,63.81,05.Feb
87,87,81.15,05.Feb
88,88,82.58,05.Feb
89,89,56.3,05.Feb
90,90,109.22,05.Feb
91,91,109.49,05.Feb
92,92,69.56,05.Feb
93,93,70.02,05.Feb
94,94,68.95,05.Feb
95,95,134.28,05.Feb
96,96,77.67,05.Feb
97,97,64.55,05.Feb
98,98,85.15,05.Feb
99,99,75.49,05.Feb
100,100,86.36,05.Feb
101,101,102.61,05.Feb
102,102,76.58,05.Feb
103,103,68.66,05.Feb
104,104,91.95,05.Feb
105,105,74.28,05.Feb
106,106,111.05,05.Feb
107,107,75.15,05.Feb
108,108,64.57,05.Feb
109,109,96.92,05.Feb
110,110,73.33,05.Feb
111,111,64.42,05.Feb
112,112,53.45,05.Feb
113,113,97.59,05.Feb
114,114,77.25,05.Feb
115,115,96.45,05.Feb
116,116,63.37,05.Feb
117,117,81.09,05.Feb
118,118,51.46,05.Feb
119,119,90.05,05.Feb
120,120,81.16,05.Feb
121,121,61.88,05.Feb
122,122,69.42,05.Feb
123,123,68.34,05.Feb
124,124,64.62,05.Feb
125,125,68.35,05.Feb
126,126,94.25,05.Feb
127,127,90.77,05.Feb
128,128,53.38,05.Feb
129,129,64.98,05.Feb
130,130,57.45,05.Feb
131,131,60.4,05.Feb
132,132,96.95,05.Feb
133,133,89.69,05.Feb
134,134,73.68,05.Feb
135,135,60.58,05.Feb
136,136,71.87,05.Feb
137,137,68.75,05.Feb
138,138,65.73,06.Feb
139,139,70.75,06.Feb
140,140,64.9,06.Feb
141,141,59.97,06.Feb
142,142,56.02,06.Feb
143,143,118.03,06.Feb
144,144,74.64,06.Feb
145,145,70.79,06.Feb
146,146,64.18,06.Feb
147,147,72.75,06.Feb
148,148,62.48,06.Feb
149,149,64.78,06.Feb
150,150,110.29,06.Feb
151,151,68.55,06.Feb
152,152,65.74,06.Feb
153,153,64.55,06.Feb
154,154,67.99,06.Feb
155,155,99.8,06.Feb
156,156,82.18,06.Feb
157,157,65.09,07.Feb
158,158,68.21,07.Feb
159,159,64.12,07.Feb
160,160,78.87,07.Feb
161,161,74.08,07.Feb
162,162,60.12,07.Feb
163,163,68.09,07.Feb
164,164,78.51,07.Feb
165,165,62.44,07.Feb
166,166,79.68,07.Feb
167,167,64.89,07.Feb
168,168,79.94,07.Feb
169,169,54.52,07.Feb
170,170,52.52,07.Feb
171,171,63.52,07.Feb
172,172,71.58,07.Feb
173,173,76,07.Feb
174,174,55.68,07.Feb
175,175,75.9,07.Feb
176,176,60.04,07.Feb
177,177,61.09,07.Feb
178,178,68.37,07.Feb
179,179,56.74,07.Feb
180,180,64.22,07.Feb
181,181,64.48,07.Feb
182,182,74.12,07.Feb
183,183,59.08,08.Feb
184,184,73.98,08.Feb
185,185,61.96,08.Feb
